compound_id,smiles,compound_name,compound_class,traditional_source,traditional_region,traditional_use,antioxidant_probability,antioxidant_active,anti_inflammatory_probability,anti_inflammatory_active,antimicrobial_probability,antimicrobial_active,neuroprotective_probability,neuroprotective_active
NP_0023,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Chrysin,flavonoids,Passiflora incarnata,Americas,neuroprotective,0.87,1,0.71,1,0.48,0,0.89,1
NP_0024,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Oleanolic acid,terpenoids,Olea europaea,Mediterranean,anti-inflammatory,0.69,1,0.92,1,0.64,1,0.55,1
NP_0025,c1cc(c(cc1C=CC(=O)O)O)OC,Sinapic acid,phenolic_acids,Brassica nigra,Europe,antioxidant,0.91,1,0.78,1,0.57,1,0.42,0
NP_0026,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Ursolic acid,terpenoids,Arctostaphylos uva-ursi,Americas,antimicrobial,0.71,1,0.88,1,0.83,1,0.49,0
NP_0027,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Apigenin,flavonoids,Matricaria chamomilla,Europe,anti-inflammatory,0.84,1,0.89,1,0.51,1,0.74,1
NP_0028,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Betulinic acid,terpenoids,Betula pendula,Europe,antimicrobial,0.66,1,0.82,1,0.91,1,0.43,0
NP_0029,c1cc(c(cc1C=CC(=O)O)O)O,Rosmarinic acid,phenolic_acids,Rosmarinus officinalis,Mediterranean,antioxidant,0.93,1,0.87,1,0.76,1,0.61,1
NP_0030,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Maslinic acid,terpenoids,Olea europaea,Mediterranean,anti-inflammatory,0.67,1,0.85,1,0.69,1,0.52,1
NP_0031,CCO,Ethanol,inactive_controls,synthetic,Industrial,inactive,0.12,0,0.08,0,0.15,0,0.09,0
NP_0032,c1ccccc1,Benzene,inactive_controls,synthetic,Industrial,inactive,0.07,0,0.04,0,0.11,0,0.06,0
NP_0033,CC(=O)O,Acetic acid,inactive_controls,synthetic,Industrial,inactive,0.19,0,0.14,0,0.28,0,0.12,0
NP_0034,CCCCCCCCCCCCCCCC(=O)O,Palmitic acid,inactive_controls,synthetic,Industrial,inactive,0.22,0,0.18,0,0.09,0,0.13,0
NP_0035,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Rutin,flavonoids,Fagopyrum esculentum,Asia,cardiovascular,0.89,1,0.83,1,0.47,0,0.71,1
NP_0036,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Glycyrrhizic acid,terpenoids,Glycyrrhiza glabra,Asia,anti-inflammatory,0.73,1,0.91,1,0.68,1,0.58,1
NP_0037,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Naringenin,flavonoids,Citrus aurantium,Asia,antioxidant,0.86,1,0.76,1,0.39,0,0.68,1
NP_0038,COc1cc(ccc1O)C=CC(=O)O,Vanillic acid,phenolic_acids,Vanilla planifolia,Americas,antioxidant,0.82,1,0.74,1,0.45,0,0.41,0
NP_0039,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Asiatic acid,terpenoids,Centella asiatica,Asia,neuroprotective,0.71,1,0.89,1,0.54,1,0.87,1
NP_0040,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Hesperidin,flavonoids,Citrus sinensis,Mediterranean,cardiovascular,0.87,1,0.81,1,0.43,0,0.73,1
NP_0041,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Ginsenoside,terpenoids,Panax ginseng,Asia,neuroprotective,0.68,1,0.84,1,0.57,1,0.91,1
NP_0042,c1cc(c(cc1C=CC(=O)O)O)O,Protocatechuic acid,phenolic_acids,Hibiscus sabdariffa,Africa,antioxidant,0.88,1,0.82,1,0.71,1,0.46,0
NP_0043,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Saponin,saponins,Quillaja saponaria,Americas,antimicrobial,0.62,1,0.75,1,0.86,1,0.49,0
NP_0044,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Vitexin,flavonoids,Vitex agnus-castus,Europe,anti-inflammatory,0.83,1,0.88,1,0.42,0,0.69,1
NP_0045,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Escin,saponins,Aesculus hippocastanum,Europe,anti-inflammatory,0.64,1,0.86,1,0.73,1,0.51,1
NP_0046,c1cc(c(cc1C=CC(=O)O)O)O,Chlorogenic acid,phenolic_acids,Coffea arabica,Africa,antioxidant,0.91,1,0.85,1,0.62,1,0.55,1
NP_0047,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Baicalin,flavonoids,Scutellaria baicalensis,Asia,antimicrobial,0.78,1,0.81,1,0.89,1,0.67,1
NP_0048,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,Diosmin,flavonoids,Dioscorea villosa,Americas,cardiovascular,0.85,1,0.79,1,0.41,0,0.72,1
NP_0049,CC(C)C1CCC2(C(C1)CCC3(C2CC=C(C3)C(=O)O)C)C,Astragaloside,saponins,Astragalus membranaceus,Asia,neuroprotective,0.69,1,0.88,1,0.76,1,0.89,1
NP_0050,c1cc(c(cc1C=CC(=O)O)O)O,Epicatechin,flavonoids,Camellia sinensis,Asia,antioxidant,0.92,1,0.83,1,0.53,1,0.74,1

